2026-01-05 11:16:22.074 [main] INFO  c.javaweb.SmartManagementApplication - Starting SmartManagementApplication using Java 21.0.9 with PID 15380 (E:\Code\java\smart-parent\smart-web-manager\target\classes started by QiaoZ in E:\Code\java\smart-parent)
2026-01-05 11:16:22.080 [main] INFO  c.javaweb.SmartManagementApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-05 11:16:25.265 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-01-05 11:16:25.307 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-01-05 11:16:25.311 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-01-05 11:16:25.312 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.49]
2026-01-05 11:16:25.483 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-05 11:16:25.484 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3305 ms
2026-01-05 11:16:26.856 [main] INFO  com.javaweb.WebConfig - 注册拦截器
2026-01-05 11:16:26.858 [main] INFO  com.javaweb.WebConfig - 登录检查拦截器已注册，应用于所有路径
2026-01-05 11:16:28.040 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-01-05 11:16:28.129 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-01-05 11:16:28.165 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-01-05 11:16:28.193 [main] INFO  c.javaweb.SmartManagementApplication - Started SmartManagementApplication in 6.976 seconds (process running for 9.977)
2026-01-05 11:16:28.205 [main] INFO  c.javaweb.SmartManagementApplication - 项目启动成功...
2026-01-05 11:16:28.884 [RMI TCP Connection(1)-10.10.123.159] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-01-05 11:16:28.885 [RMI TCP Connection(1)-10.10.123.159] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-01-05 11:16:28.887 [RMI TCP Connection(1)-10.10.123.159] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-01-05 11:16:28.904 [RMI TCP Connection(4)-10.10.123.159] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-01-05 11:16:29.535 [RMI TCP Connection(4)-10.10.123.159] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4892a1d6
2026-01-05 11:16:29.554 [RMI TCP Connection(4)-10.10.123.159] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-01-05 11:17:11.503 [http-nio-8080-exec-1] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /clazzs
2026-01-05 11:17:11.503 [http-nio-8080-exec-2] INFO  c.j.i.LoginCheckInterceptor - 拦截到请求: /emps/list
2026-01-05 11:17:11.504 [http-nio-8080-exec-1] WARN  c.j.i.LoginCheckInterceptor - 请求头中缺少token
